# famille|méthode|ingrédients clés : listes éditoriales, sans permutations automatiques.
nut|cru|noix,chou_rouge,celeri
nut|roti|noix,courge,fenouil
nut|vapeur|noix,asperge,petits_pois
nut|cru|noix,concombre,mache
nut|roti|noix,aubergine,celeri_rave
nut|vapeur|noix,navet,haricot_vert
nut|roti|sesame,panais,poivron
nut|vapeur|sesame,chou_fleur,blette
nut|cru|sesame,carotte,radis
nut|roti|sesame,courge,chou
nut|vapeur|sesame,brocoli,petits_pois
nut|cru|sesame,concombre,celeri_rave
nut|roti|sesame,betterave,endive
nut|vapeur|sesame,artichaut,cresson
nut|roti|pignon,carotte,choux_bruxelles
nut|vapeur|pignon,chou_fleur,epinard
nut|cru|pignon,fenouil,laitue
nut|roti|pignon,aubergine,champignon
nut|vapeur|pignon,haricot_vert,blette
nut|cru|pignon,betterave,radis
nut|roti|pignon,panais,poivron
nut|vapeur|pignon,asperge,courge
nut|roti|amande,rutabaga,chou_rouge
nut|vapeur|noisette,celeri_rave,cresson
nut|cru|noix,carotte,fenouil
nut|roti|sesame,navet,choux_bruxelles
nut|vapeur|pignon,brocoli,artichaut
nut|cru|amande,mache,radis
avocado|cru|avocat,carotte,radis
avocado|tiede|avocat,chou_fleur,haricot_vert
avocado|barquette|avocat,endive,betterave
avocado|cru|avocat,chou_rouge,fenouil
avocado|tiede|avocat,brocoli,petits_pois
avocado|barquette|avocat,poivron,celeri
avocado|cru|avocat,mache,concombre
avocado|tiede|avocat,artichaut,epinard
avocado|barquette|avocat,laitue,carotte
avocado|cru|avocat,celeri_rave,radis
avocado|tiede|avocat,courge,blette
avocado|barquette|avocat,endive,chou_rouge
avocado|cru|avocat,betterave,concombre
avocado|tiede|avocat,panais,cresson
avocado|barquette|avocat,poivron,fenouil
avocado|cru|avocat,laitue,celeri
avocado|tiede|avocat,rutabaga,asperge
avocado|barquette|avocat,endive,radis
avocado|cru|avocat,chou,carotte,concombre
avocado|tiede|avocat,choux_bruxelles,courgette
avocado|barquette|avocat,laitue,betterave
avocado|cru|avocat,mache,fenouil
avocado|tiede|avocat,navet,brocoli
avocado|barquette|avocat,poivron,carotte
avocado|cru|avocat,celeri_rave,chou_rouge
avocado|tiede|avocat,champignon,petits_pois
avocado|barquette|avocat,endive,concombre
avocado|cru|avocat,cresson,radis
avocado|tiede|avocat,haricot_vert,artichaut
avocado|cru|avocat,chou_rouge,celeri
oil|roti|huile,fenouil,carotte,choux_bruxelles
oil|vapeur|huile,chou_fleur,petits_pois,ciboulette
oil|cru|huile,betterave,concombre,persil
oil|roti|huile,courge,rutabaga,poivron
oil|vapeur|huile,artichaut,haricot_vert,basilic
oil|cru|huile,chou_rouge,radis,celeri
oil|roti|huile,aubergine,panais,champignon
oil|vapeur|huile,brocoli,navet,cresson
oil|cru|huile,carotte,fenouil,mache
oil|roti|huile,chou_fleur,betterave,endive
oil|vapeur|huile,blette,petits_pois,persil
oil|cru|huile,celeri_rave,concombre,ciboulette
oil|roti|huile,carotte,artichaut,courgette
oil|vapeur|huile,asperge,navet,basilic
oil|cru|huile,chou,radis,mache
oil|roti|huile,celeri_rave,courge,fenouil
oil|vapeur|huile,choux_bruxelles,haricot_vert,epinard
oil|cru|huile,poivron,celeri,laitue
oil|roti|huile,panais,betterave,courgette
oil|vapeur|huile,rutabaga,brocoli,ciboulette
oil|cru|huile,chou_rouge,carotte,cresson
oil|roti|huile,navet,champignon,poivron
oil|vapeur|huile,artichaut,blette,persil
oil|cru|huile,fenouil,radis,concombre
oil|roti|huile,choux_bruxelles,courge,endive
soup|veloute|carotte,fenouil,epinard
soup|rustique|celeri_rave,chou,petits_pois
soup|veloute|courge,brocoli,navet
soup|rustique|rutabaga,poivron,blette
soup|veloute|panais,chou_fleur,cresson
soup|rustique|betterave,carotte,haricot_vert
soup|veloute|artichaut,courgette,fenouil
soup|rustique|choux_bruxelles,navet,champignon
soup|veloute|celeri_rave,courge,epinard
soup|rustique|chou_rouge,carotte,courgette
soup|veloute|brocoli,petits_pois,basilic
soup|rustique|endive,rutabaga,blette
soup|veloute|poivron,panais,chou_fleur
soup|rustique|asperge,carotte,celeri
soup|veloute|betterave,fenouil,laitue
soup|rustique|chou,navet,haricot_vert
soup|veloute|courge,artichaut,persil
soup|rustique|petits_pois,champignon,blette
soup|veloute|rutabaga,brocoli,cresson
soup|rustique|chou_rouge,panais,celeri
soup|veloute|chou_fleur,carotte,ciboulette
soup|rustique|fenouil,poivron,haricot_vert
soup|veloute|celeri_rave,petits_pois,laitue
soup|rustique|navet,courge,choux_bruxelles
soup|veloute|artichaut,asperge,epinard
soup|rustique|betterave,rutabaga,chou
soup|veloute|panais,carotte,endive
soup|rustique|brocoli,blette,champignon
soup|veloute|fenouil,courge,cresson
soup|rustique|celeri_rave,poivron,petits_pois
fruit|carpaccio|poire,mangue,groseille
fruit|roti|pomme,abricot,raisin
fruit|verrine|banane,peche,figue_seche
fruit|salade|orange,fraise,grenade
fruit|roti|prune,mangue,figue
fruit|carpaccio|ananas,peche,framboise
fruit|verrine|poire,banane,abricot_sec
fruit|salade|clementine,cerise,groseille
fruit|roti|pomme,prune,figue_seche
fruit|carpaccio|mangue,abricot,framboise
fruit|verrine|banane,cerise,raisin
fruit|salade|ananas,orange,groseille
fruit|roti|poire,abricot,figue
fruit|carpaccio|pomme,peche,grenade
fruit|verrine|banane,prune,abricot_sec
fruit|salade|fraise,clementine,framboise
fruit|roti|mangue,peche,raisin
fruit|carpaccio|poire,cerise,orange
fruit|verrine|banane,abricot,figue_seche
fruit|salade|ananas,fraise,groseille
